elapsed_ms,read_gib_s,write_gib_s,total_gib_s,time_s
35599.167,78.12890625,1.021484375,79.150390625,35.545814
35649.723,58.2998046875,20.7900390625,79.08984375,35.59636999999999
35699.389,54.091796875,11.69921875,65.791015625,35.646036
35751.192,93.6416015625,1.109375,94.7509765625,35.697839
35802.01,74.6201171875,9.302734375,83.9228515625,35.748657
35853.478,66.921875,20.494140625,87.416015625,35.800125
35904.147,81.7646484375,2.5673828125,84.33203125,35.85079399999999
35955.197,72.484375,3.060546875,75.544921875,35.901844
36005.772,64.5341796875,20.3349609375,84.869140625,35.95241899999999
36057.08,70.076171875,9.71875,79.794921875,36.003727
36107.13,85.3994140625,1.6552734375,87.0546875,36.053777
36157.389,59.9375,11.9404296875,71.8779296875,36.104036
36207.741,68.2685546875,16.7138671875,84.982421875,36.154388
36257.393,78.7314453125,2.15625,80.8876953125,36.20403999999999
36308.9,75.728515625,2.982421875,78.7109375,36.255547
36358.654,69.048828125,21.2646484375,90.3134765625,36.305301
36408.192,67.5634765625,7.6298828125,75.193359375,36.354839
36458.441,86.31640625,1.13671875,87.453125,36.405088
36508.939,61.521484375,12.6298828125,74.1513671875,36.455586
36558.849,63.2119140625,16.1181640625,79.330078125,36.505496
36608.92,82.234375,1.4326171875,83.6669921875,36.555566999999996
36658.828,73.2392578125,2.5205078125,75.759765625,36.605475
36709.946,66.923828125,22.6552734375,89.5791015625,36.656593
36760.349,70.46875,6.87890625,77.34765625,36.706996
36810.348,86.46484375,1.6162109375,88.0810546875,36.756994999999996
36860.897,60.9453125,14.3466796875,75.2919921875,36.80754399999999
36910.522,58.1611328125,16.2373046875,74.3984375,36.85716899999999
36961.26,81.7197265625,1.37890625,83.0986328125,36.907907
37011.229,76.080078125,4.4677734375,80.5478515625,36.957876
37061.571,66.7822265625,20.73046875,87.5126953125,37.008218
37112.209,75.0224609375,6.943359375,81.9658203125,37.058856
37162.797,85.6611328125,2.8525390625,88.513671875,37.109443999999996
37214.241,55.33984375,15.8037109375,71.1435546875,37.160888
37265.703,60.3720703125,16.13671875,76.5087890625,37.21235
37316.58,80.484375,2.59765625,83.08203125,37.263227
37367.21,75.9375,5.91015625,81.84765625,37.313857
37417.125,65.501953125,22.09765625,87.599609375,37.363772
37466.901,78.1279296875,4.9931640625,83.12109375,37.413548
37520.72,92.529296875,1.7705078125,94.2998046875,37.467366999999996
37572.161,52.078125,16.9912109375,69.0693359375,37.518808
37622.155,54.287109375,13.1826171875,67.4697265625,37.568802
37671.979,82.865234375,1.595703125,84.4609375,37.618626
37722.741,79.119140625,7.4052734375,86.5244140625,37.669388
37772.407,64.900390625,22.5078125,87.408203125,37.719054
37823.109,85.9208984375,2.8271484375,88.748046875,37.769755999999994
37873.674,74.7548828125,1.630859375,76.3857421875,37.82032099999999
37923.874,54.37109375,18.6943359375,73.0654296875,37.870521000000004
37973.744,52.94921875,12.1181640625,65.0673828125,37.920390999999995
38024.209,89.484375,1.3828125,90.8671875,37.970856
38076.189,75.0,8.015625,83.015625,38.022836
38126.087,67.603515625,20.9541015625,88.5576171875,38.072734
38176.01,83.1572265625,2.0224609375,85.1796875,38.122657
38226.405,73.5078125,1.00390625,74.51171875,38.173052
38276.844,53.90625,18.0244140625,71.9306640625,38.223490999999996
38327.185,56.533203125,12.396484375,68.9296875,38.27383199999999
38379.12,88.46875,2.42578125,90.89453125,38.325767
38430.004,67.7314453125,9.05078125,76.7822265625,38.376650999999995
38480.742,64.3740234375,22.9716796875,87.345703125,38.427389
38531.448,82.294921875,3.4501953125,85.7451171875,38.478094999999996
38582.313,80.0107421875,2.529296875,82.5400390625,38.52896
38633.617,57.15234375,19.3583984375,76.5107421875,38.58026399999999
38684.079,57.1396484375,10.4091796875,67.548828125,38.630725999999996
38734.398,84.396484375,1.2451171875,85.6416015625,38.681045
38784.948,72.3095703125,9.76171875,82.0712890625,38.73159499999999
38835.039,68.609375,21.583984375,90.193359375,38.78168599999999
38885.081,81.435546875,2.0517578125,83.4873046875,38.831728
38935.407,72.6650390625,1.515625,74.1806640625,38.882054
38985.405,56.4248046875,19.2421875,75.6669921875,38.932052
39035.201,54.82421875,11.5087890625,66.3330078125,38.981848
39085.565,86.513671875,1.53125,88.044921875,39.032212
39135.358,70.892578125,8.787109375,79.6796875,39.082004999999995
39185.231,65.91015625,20.9072265625,86.8173828125,39.131878
39235.107,85.068359375,1.60546875,86.673828125,39.181754
39284.906,74.9970703125,1.8076171875,76.8046875,39.231553
39335.203,55.2509765625,18.4326171875,73.68359375,39.28185
39385.352,58.7900390625,11.3955078125,70.185546875,39.331998999999996
39435.506,84.9111328125,1.6220703125,86.533203125,39.382152999999995
39485.94,74.2783203125,7.591796875,81.8701171875,39.432587
39535.985,65.4267578125,21.2890625,86.7158203125,39.482631999999995
39585.903,82.4912109375,1.8642578125,84.35546875,39.53254999999999
39636.512,77.134765625,1.3408203125,78.4755859375,39.583159
39687.75,55.18359375,19.8486328125,75.0322265625,39.634397
39738.631,56.9228515625,12.603515625,69.5263671875,39.685278
39790.954,90.1875,2.6435546875,92.8310546875,39.737601
39842.583,70.3974609375,9.865234375,80.2626953125,39.789229999999996
39893.385,71.4189453125,21.25,92.6689453125,39.840032
39943.586,76.154296875,2.3486328125,78.5029296875,39.890233
39996.942,76.525390625,1.29296875,77.818359375,39.943589
40047.052,59.6220703125,21.3583984375,80.98046875,39.993699
40096.819,61.419921875,10.3984375,71.818359375,40.043466
40147.31,87.9755859375,1.4296875,89.4052734375,40.093956999999996
40197.257,66.1044921875,9.79296875,75.8974609375,40.14390399999999
40247.434,70.1171875,19.2509765625,89.3681640625,40.194081
40297.269,75.55859375,1.5068359375,77.0654296875,40.243916
40350.551,74.2265625,1.7470703125,75.9736328125,40.297197999999995
40400.442,68.1162109375,19.962890625,88.0791015625,40.347089
40450.38,68.041015625,7.6484375,75.689453125,40.397026999999994
40502.138,92.271484375,1.8994140625,94.1708984375,40.448784999999994
40552.685,59.259765625,14.4130859375,73.6728515625,40.499331999999995
40602.352,61.546875,18.5478515625,80.0947265625,40.548998999999995
40653.033,82.5390625,1.5888671875,84.1279296875,40.59968
40702.999,73.6826171875,2.6044921875,76.287109375,40.649646000000004
40752.852,69.359375,21.318359375,90.677734375,40.699498999999996
40802.574,68.2666015625,7.513671875,75.7802734375,40.749221
40852.809,84.2275390625,1.634765625,85.8623046875,40.799456
40902.801,60.861328125,13.8154296875,74.6767578125,40.849447999999995
40953.375,64.7978515625,17.720703125,82.5185546875,40.900022
41006.719,77.93359375,2.896484375,80.830078125,40.953365999999995
41059.577,79.9423828125,5.6953125,85.6376953125,41.006223999999996
41110.969,66.7607421875,21.6708984375,88.431640625,41.057615999999996
41161.531,76.4033203125,5.869140625,82.2724609375,41.108178
41212.741,90.9521484375,1.904296875,92.8564453125,41.159388
41264.34,49.1318359375,16.654296875,65.7861328125,41.210986999999996
41314.279,56.5224609375,12.6865234375,69.208984375,41.260926
41365.439,83.49609375,1.39453125,84.890625,41.312085999999994
41415.469,75.4921875,7.775390625,83.267578125,41.36211599999999
41465.103,63.1513671875,21.3251953125,84.4765625,41.41175
41515.316,85.650390625,2.5126953125,88.1630859375,41.461963
41567.161,79.4267578125,2.005859375,81.4326171875,41.513808
41618.235,53.97265625,18.90625,72.87890625,41.564882
41667.809,55.6328125,11.068359375,66.701171875,41.614456
41717.636,86.748046875,1.576171875,88.32421875,41.664283
41767.88,73.5830078125,9.234375,82.8173828125,41.714527
41818.094,67.0234375,21.830078125,88.853515625,41.764740999999994
41868.271,80.408203125,1.208984375,81.6171875,41.814918
41919.788,76.322265625,1.982421875,78.3046875,41.866434999999996
41969.573,60.0703125,19.83984375,79.91015625,41.916219999999996
42019.824,61.4833984375,9.9306640625,71.4140625,41.966471
42070.624,89.3662109375,1.3095703125,90.67578125,42.017271
42122.214,68.4443359375,10.78515625,79.2294921875,42.068861
42171.897,64.1318359375,21.1337890625,85.265625,42.11854399999999
42223.626,81.0615234375,2.634765625,83.6962890625,42.170272999999995
42275.592,76.2734375,2.52734375,78.80078125,42.222238999999995
42326.897,66.572265625,21.50390625,88.076171875,42.273543999999994
42377.851,68.72265625,9.119140625,77.841796875,42.324498
42429.374,90.5322265625,2.66796875,93.2001953125,42.376021
42480.667,64.2841796875,14.341796875,78.6259765625,42.427313999999996
42530.465,61.3330078125,17.595703125,78.9287109375,42.47711199999999
42580.959,83.5751953125,1.5849609375,85.16015625,42.527606
42632.532,77.5810546875,4.71484375,82.2958984375,42.579178999999996
42682.506,64.982421875,22.453125,87.435546875,42.629152999999995
42731.993,73.5576171875,5.703125,79.2607421875,42.67864
42785.487,95.3642578125,1.1904296875,96.5546875,42.732133999999995
42836.946,48.59375,17.37890625,65.97265625,42.783593
42887.287,55.1826171875,12.3349609375,67.517578125,42.83393399999999
42937.857,82.41015625,1.19921875,83.609375,42.884504
42988.756,79.83984375,8.078125,87.91796875,42.935403
43038.748,64.8671875,21.4794921875,86.3466796875,42.985395
43088.965,84.45703125,1.7421875,86.19921875,43.03561199999999
43139.579,75.138671875,1.28125,76.419921875,43.086225999999996
43190.073,55.4365234375,18.9521484375,74.388671875,43.13672
43239.867,54.78515625,11.7998046875,66.5849609375,43.186513999999995
43289.86,85.1298828125,1.84765625,86.9775390625,43.236506999999996
43340.413,77.6025390625,7.4453125,85.0478515625,43.28706
43390.654,71.5908203125,21.806640625,93.3974609375,43.337301
43440.788,79.0556640625,1.7529296875,80.80859375,43.387434999999996
43492.406,77.9052734375,2.228515625,80.1337890625,43.439053
43543.391,60.0927734375,21.302734375,81.3955078125,43.490038
43594.105,59.5068359375,11.669921875,71.1767578125,43.540752
43644.655,87.69921875,2.8681640625,90.5673828125,43.591302
43695.6,67.615234375,11.9541015625,79.5693359375,43.642247
43746.317,68.2099609375,22.1494140625,90.359375,43.692964
43796.641,81.4892578125,1.041015625,82.5302734375,43.743288
43848.967,76.4267578125,1.654296875,78.0810546875,43.79561399999999
43898.918,62.3447265625,20.328125,82.6728515625,43.84556499999999
43948.607,60.080078125,9.6376953125,69.7177734375,43.895254
44000.409,89.583984375,1.48828125,91.072265625,43.947055999999996
44051.969,67.2392578125,11.587890625,78.8271484375,43.99861599999999
44101.876,67.40625,18.1845703125,85.5908203125,44.048522999999996
44152.408,78.591796875,1.7822265625,80.3740234375,44.099055
44202.599,67.8232421875,1.4716796875,69.294921875,44.149246
44252.76,67.2177734375,22.646484375,89.8642578125,44.199407
44303.223,67.70703125,7.943359375,75.650390625,44.249869999999994
44354.311,84.4443359375,1.345703125,85.7900390625,44.300958
44404.376,59.3837890625,13.1513671875,72.53515625,44.35102299999999
44455.365,66.0576171875,17.869140625,83.9267578125,44.40201199999999
44505.32,75.1416015625,1.484375,76.6259765625,44.451966999999996
44556.494,76.494140625,3.328125,79.822265625,44.503141
44606.411,66.5,21.80078125,88.30078125,44.553058
44656.582,76.8046875,5.9619140625,82.7666015625,44.603229
44706.438,86.29296875,1.560546875,87.853515625,44.653085
44758.014,58.9052734375,15.1669921875,74.072265625,44.704661
44809.902,63.9609375,16.7392578125,80.7001953125,44.756549
44863.945,81.3076171875,2.9736328125,84.28125,44.810592
44915.485,75.1015625,9.0439453125,84.1455078125,44.862131999999995
44967.517,66.4677734375,22.8525390625,89.3203125,44.914164
45019.32,88.9990234375,3.44140625,92.4404296875,44.965967
45069.862,76.955078125,1.5400390625,78.4951171875,45.016509
45120.556,58.1572265625,20.7119140625,78.869140625,45.06720299999999
45170.165,54.166015625,12.12109375,66.287109375,45.116811999999996
45220.072,84.955078125,1.638671875,86.59375,45.166719
45269.919,71.9921875,8.4619140625,80.4541015625,45.216566
45319.994,70.51171875,20.744140625,91.255859375,45.26664099999999
45369.81,80.6474609375,1.9306640625,82.578125,45.31645699999999
45420.812,76.107421875,1.9501953125,78.0576171875,45.367459
45470.245,56.6416015625,20.1826171875,76.82421875,45.416892
45519.839,58.3408203125,10.77734375,69.1181640625,45.466485999999996
45570.104,85.1708984375,1.52734375,86.6982421875,45.516751
45620.815,69.2177734375,9.6796875,78.8974609375,45.567462
45670.478,62.87890625,20.376953125,83.255859375,45.617125
45720.19,81.130859375,1.1767578125,82.3076171875,45.666837
45770.006,70.8056640625,1.953125,72.7587890625,45.716653
45820.158,59.3447265625,19.3603515625,78.705078125,45.766805
45870.55,63.0,10.74609375,73.74609375,45.817197
45921.155,86.6533203125,1.3388671875,87.9921875,45.867802
45971.463,72.1416015625,10.921875,83.0634765625,45.91811
46021.818,67.828125,19.8623046875,87.6904296875,45.968464999999995
46076.787,76.6845703125,2.87109375,79.5556640625,46.023433999999995
46127.768,71.7958984375,4.515625,76.3115234375,46.074414999999995
46178.541,67.095703125,22.9169921875,90.0126953125,46.125187999999994
46229.149,71.353515625,7.6298828125,78.9833984375,46.175796
46280.894,90.685546875,2.75,93.435546875,46.227540999999995
46332.78,59.318359375,15.3505859375,74.6689453125,46.279427
46382.959,61.037109375,15.16796875,76.205078125,46.329606
46433.28,77.2451171875,2.27734375,79.5224609375,46.379926999999995
46484.681,82.4326171875,4.94140625,87.3740234375,46.43132799999999
46534.088,63.23828125,22.0625,85.30078125,46.480735
46584.412,77.0654296875,3.501953125,80.5673828125,46.53105899999999
46634.527,92.560546875,1.48828125,94.048828125,46.581174
46685.179,51.4560546875,18.453125,69.9091796875,46.631826
46735.097,54.7666015625,13.845703125,68.6123046875,46.681744
46785.902,86.234375,1.6474609375,87.8818359375,46.732549
46835.813,77.607421875,7.6220703125,85.2294921875,46.78246
46885.778,64.1455078125,21.3369140625,85.482421875,46.83242499999999
46936.094,87.3671875,2.1953125,89.5625,46.882740999999996
46986.8,74.7431640625,2.3779296875,77.12109375,46.933447
47036.377,53.244140625,18.5341796875,71.7783203125,46.983024
47085.908,54.1962890625,11.8349609375,66.03125,47.032555
47135.841,86.044921875,1.310546875,87.35546875,47.082488
47186.194,77.1552734375,7.25390625,84.4091796875,47.132841
47235.823,65.5380859375,21.328125,86.8662109375,47.182469999999995
47286.622,82.482421875,1.810546875,84.29296875,47.233269
