timestamp,time_s,preprocess_ms,vision_ms,language_ms,postprocess_ms,total_ms,boxes,points,generated_tokens,pbd_calls,pbd_accepted_tokens,stop_reason,labels,mode
1787057816.4651573,20.714539766311646,18.343,48.02,128.06,0.013,258.494,1,0,10,3,10,im_end,box,hybrid
1787057816.5919034,20.841285943984985,18.658,47.617,126.552,0.03,254.796,1,0,10,3,10,im_end,box,hybrid
1787057816.7179084,20.9672908782959,18.372,47.041,125.806,0.013,252.579,1,0,10,3,10,im_end,box,hybrid
1787057816.8452485,21.09463095664978,18.265,47.013,127.129,0.015,253.105,1,0,10,3,10,im_end,box,hybrid
1787057816.972536,21.22191858291626,19.112,46.483,127.111,0.013,254.442,1,0,10,3,10,im_end,box,hybrid
1787057817.0992296,21.348612070083618,18.745,46.976,126.478,0.013,253.801,1,0,10,3,10,im_end,box,hybrid
1787057817.2263882,21.475770711898804,18.812,46.694,126.984,0.013,253.634,1,0,10,3,10,im_end,box,hybrid
1787057817.3540173,21.603399753570557,18.532,47.043,127.461,0.014,254.608,1,0,10,3,10,im_end,box,hybrid
1787057817.4826357,21.73201823234558,18.224,47.145,128.44,0.016,256.071,1,0,10,3,10,im_end,box,hybrid
1787057817.6114712,21.860853672027588,18.939,46.545,128.625,0.016,257.267,1,0,10,3,10,im_end,box,hybrid
1787057817.7395842,21.988966703414917,18.646,47.6,127.939,0.014,256.736,1,0,10,3,10,im_end,box,hybrid
1787057817.8667216,22.116104125976562,18.412,47.872,126.96,0.015,255.074,1,0,10,3,10,im_end,box,hybrid
1787057817.9939377,22.24332022666931,18.219,47.354,127.014,0.014,254.173,1,0,10,3,10,im_end,box,hybrid
1787057818.1205962,22.369978666305542,18.482,47.494,126.458,0.014,253.643,1,0,10,3,10,im_end,box,hybrid
1787057818.2478426,22.497225046157837,18.285,47.227,127.046,0.013,253.697,1,0,10,3,10,im_end,box,hybrid
1787057818.3746316,22.624014139175415,18.197,47.201,126.573,0.013,253.854,1,0,10,3,10,im_end,box,hybrid
1787057818.5024545,22.751837015151978,18.332,47.084,127.653,0.014,254.393,1,0,10,3,10,im_end,box,hybrid
